iter	MultiClass
0	1.682790377
1	1.578971512
2	1.496075568
3	1.425412707
4	1.361126798
5	1.313867588
6	1.261043017
7	1.219426706
8	1.182120739
9	1.144089874
10	1.113948086
11	1.087231087
12	1.06261396
13	1.036635396
14	1.012476074
15	0.990816007
16	0.9724275131
17	0.955783359
18	0.9389632309
19	0.9249160028
20	0.9113166583
21	0.8974917489
22	0.8839217413
23	0.8703612939
24	0.859291323
25	0.8467268035
26	0.8375282149
27	0.8280928686
28	0.820777391
29	0.8117778901
30	0.8032903456
31	0.7956164913
32	0.7890153733
33	0.7807866991
34	0.7746897897
35	0.7693294203
36	0.7633108262
37	0.7577975409
38	0.7503927841
39	0.7427206932
40	0.7352328653
41	0.7288666475
42	0.7218849351
43	0.7150533494
44	0.7100029406
45	0.704168285
46	0.6990521436
47	0.6943389456
48	0.6886341653
49	0.6826740396
50	0.6770033543
51	0.6706781871
52	0.6641180797
53	0.6599257511
54	0.6557751802
55	0.6504191935
56	0.6455840913
57	0.6419147861
58	0.6375728089
59	0.6325704493
60	0.6264023324
61	0.6218398938
62	0.6164907815
63	0.6111975468
64	0.607312722
65	0.6038488927
66	0.5992983238
67	0.595546714
68	0.5903341842
69	0.5866915534
70	0.5829015505
71	0.5771594889
72	0.5738173428
73	0.5698204303
74	0.5652122869
75	0.5622799324
76	0.5589655292
77	0.5527197645
78	0.5475332564
79	0.542928132
80	0.5393773576
81	0.5346163844
82	0.5291130426
83	0.5253874044
84	0.5206995149
85	0.515004475
86	0.5111222904
87	0.5079473346
88	0.5053050749
89	0.501053809
90	0.4974630766
91	0.4949789308
92	0.4915797199
93	0.4883153939
94	0.4856896493
95	0.4813324243
96	0.477953622
97	0.4737995414
98	0.4709048038
99	0.4672971308
100	0.4634319663
101	0.4589074323
102	0.4552872414
103	0.4514381834
104	0.4482619924
105	0.4457288784
106	0.4424920994
107	0.4400953478
108	0.4367088621
109	0.4327403103
110	0.4290793792
111	0.427339828
112	0.4256850478
113	0.4232666629
114	0.4196193897
115	0.415960071
116	0.41260489
117	0.4088862718
118	0.406343808
119	0.4030526052
120	0.4008908922
121	0.3982702081
122	0.395207236
123	0.3929025975
124	0.3899006944
125	0.3867800619
126	0.3837357285
127	0.3806138571
128	0.3786392502
129	0.3753923724
130	0.3721711521
131	0.368296805
132	0.3660646742
133	0.3636879659
134	0.3613982483
135	0.3575621523
136	0.3553479042
137	0.3523490407
138	0.3497885522
139	0.348001125
140	0.3452358498
141	0.3440117082
142	0.3416253654
143	0.3382846864
144	0.3358086151
145	0.3335685643
146	0.3321960749
147	0.3299033916
148	0.3281304192
149	0.3271183478
150	0.3253322996
151	0.3237587405
152	0.3214491415
153	0.3193998704
154	0.3174528052
155	0.3152752133
156	0.3132384577
157	0.3103792385
158	0.3086037788
159	0.3074374369
160	0.3056479734
161	0.3043274171
162	0.3026637063
163	0.3002422324
164	0.2988479338
165	0.2964148218
166	0.2937692596
167	0.2920701635
168	0.2905041189
169	0.2890059057
170	0.2874774256
171	0.2855827174
172	0.2840412824
173	0.2829344784
174	0.2814817772
175	0.2793624463
176	0.2785311543
177	0.2766495573
178	0.2749936828
179	0.2731592076
180	0.2721508028
181	0.2704714352
182	0.269412364
183	0.2680822405
184	0.2662488542
185	0.2650049516
186	0.2641730859
187	0.2630660683
188	0.2615404773
189	0.2599678942
190	0.258863008
191	0.2578490255
192	0.256358584
193	0.2545493627
194	0.2532062412
195	0.2518987468
196	0.250399553
197	0.2488555009
198	0.2474259005
199	0.2454820681
200	0.244159652
